region,cell_type,run,experiment,gene_encoder,attention,loss_ptau,pca_components,avg_f1,avg_mse,avg_mae,dropout,weight_decay,lr,lambda_entropy,error
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_baseline,baseline,False,True,huber,2,0.2375,0.16092322733822081,0.32288809842430055,0.2,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_higher_dropout,higher_dropout,False,True,huber,2,0.2548611111111111,0.1351362480881444,0.2958489979306857,0.4,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_highest_dropout,highest_dropout,False,True,huber,2,0.26631944444444444,0.05104155004496026,0.143632501984636,0.5,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_higher_weight_decay,higher_weight_decay,False,True,huber,2,0.3145833333333333,0.1063199904412917,0.23131149588152766,0.2,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_highest_weight_decay,highest_weight_decay,False,True,huber,2,0.26666666666666666,0.1562674647264365,0.3516122142318636,0.2,1.0,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_lower_lr,lower_lr,False,True,huber,2,0.3055555555555555,0.16928004309194708,0.325438497432818,0.2,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_lowest_lr,lowest_lr,False,True,huber,2,0.11666666666666665,0.1732100533414405,0.3445152229008575,0.2,0.1,0.0001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,2,0.3590277777777778,0.13611377693465532,0.23776270231852928,0.2,0.1,0.001,0.01,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,2,0.31527777777777777,0.0929195803842411,0.19082527980208397,0.2,0.1,0.001,0.1,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_wd,dropout_wd,False,True,huber,2,0.3461805555555555,0.19418111488202264,0.36279163183644414,0.4,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_dropout_lr,dropout_lr,False,True,huber,2,0.32152777777777775,0.0660713656505415,0.20870147847260037,0.4,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_wd_lr,wd_lr,False,True,huber,2,0.2638888888888889,0.2964089953763807,0.462477819994092,0.2,0.5,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_all_moderate,all_moderate,False,True,huber,2,0.23194444444444445,0.1787582555515384,0.3358776525904735,0.4,0.5,0.0005,0.01,
PFC,Astrocytes,geFalse_attnTrue_huber_pca2_all_strong,all_strong,False,True,huber,2,0.17777777777777776,0.209946450666117,0.41616780031472445,0.5,1.0,0.0001,0.1,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_baseline,baseline,False,True,huber,4,0.19583333333333333,0.05370459005223581,0.17967213597148657,0.2,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_higher_dropout,higher_dropout,False,True,huber,4,0.21805555555555556,0.09628065953593576,0.24231517264464247,0.4,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_highest_dropout,highest_dropout,False,True,huber,4,0.3003472222222222,0.14759626051592273,0.29521989969847107,0.5,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_higher_weight_decay,higher_weight_decay,False,True,huber,4,0.3434027777777777,0.072747790199488,0.22131651345989667,0.2,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_highest_weight_decay,highest_weight_decay,False,True,huber,4,0.33402777777777776,0.21657269209702923,0.38458098703995347,0.2,1.0,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_lower_lr,lower_lr,False,True,huber,4,0.29409722222222223,0.18686417329230864,0.3385535585694015,0.2,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_lowest_lr,lowest_lr,False,True,huber,4,0.22291666666666665,0.15686728647958462,0.31955768913030624,0.2,0.1,0.0001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,4,0.4253472222222222,0.031048679841981043,0.11765047054116924,0.2,0.1,0.001,0.01,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,4,0.29236111111111107,0.08397295322005753,0.2279308905126527,0.2,0.1,0.001,0.1,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_dropout_wd,dropout_wd,False,True,huber,4,0.1753472222222222,0.11531324351383693,0.28969682628909743,0.4,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_dropout_lr,dropout_lr,False,True,huber,4,0.22465277777777776,0.36857046935992627,0.5322852991521358,0.4,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_wd_lr,wd_lr,False,True,huber,4,0.1267361111111111,0.16627345014405473,0.36263392112838727,0.2,0.5,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_all_moderate,all_moderate,False,True,huber,4,0.25555555555555554,0.11357553557800885,0.2595145621647437,0.4,0.5,0.0005,0.01,
PFC,Astrocytes,geFalse_attnTrue_huber_pca4_all_strong,all_strong,False,True,huber,4,0.10416666666666666,0.1446921219002697,0.30850458424538374,0.5,1.0,0.0001,0.1,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_baseline,baseline,False,True,huber,8,0.37222222222222223,0.061374990551879206,0.21305302782760313,0.2,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_higher_dropout,higher_dropout,False,True,huber,8,0.25416666666666665,0.06357282816302885,0.1985641653494289,0.4,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_highest_dropout,highest_dropout,False,True,huber,8,0.30138888888888893,0.10596460222734289,0.26707776201268035,0.5,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_higher_weight_decay,higher_weight_decay,False,True,huber,8,0.44131944444444443,0.25874024325680656,0.4607426985943069,0.2,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_highest_weight_decay,highest_weight_decay,False,True,huber,8,0.17812499999999998,0.10637740234179713,0.27428579827149707,0.2,1.0,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_lower_lr,lower_lr,False,True,huber,8,0.2333333333333333,0.15649273859993268,0.3394138459892323,0.2,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_lowest_lr,lowest_lr,False,True,huber,8,0.12083333333333332,0.20352833954706834,0.3652146559519072,0.2,0.1,0.0001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,8,0.2965277777777778,0.11184287164098947,0.28151755345364415,0.2,0.1,0.001,0.01,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,8,0.39965277777777775,0.04546378923693478,0.14207521080970764,0.2,0.1,0.001,0.1,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_dropout_wd,dropout_wd,False,True,huber,8,0.24166666666666667,0.1926525356397111,0.3715261443673323,0.4,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_dropout_lr,dropout_lr,False,True,huber,8,0.19791666666666663,0.15050110269774264,0.27531728707253933,0.4,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_wd_lr,wd_lr,False,True,huber,8,0.17708333333333331,0.2307466918274253,0.39447083871345967,0.2,0.5,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_all_moderate,all_moderate,False,True,huber,8,0.21284722222222222,0.11187962458114,0.25050375300149125,0.4,0.5,0.0005,0.01,
PFC,Astrocytes,geFalse_attnTrue_huber_pca8_all_strong,all_strong,False,True,huber,8,0.10416666666666666,0.15506068899280687,0.3294897396117449,0.5,1.0,0.0001,0.1,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_baseline,baseline,False,True,huber,16,0.3194444444444444,0.08011689710928789,0.17279938142746687,0.2,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_higher_dropout,higher_dropout,False,True,huber,16,0.2548611111111111,0.04760653238009502,0.162037661143889,0.4,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_highest_dropout,highest_dropout,False,True,huber,16,0.19340277777777776,0.08555641857063304,0.23964781453832984,0.5,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_higher_weight_decay,higher_weight_decay,False,True,huber,16,0.24027777777777776,0.1279351219515805,0.2707499673900505,0.2,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_highest_weight_decay,highest_weight_decay,False,True,huber,16,0.20416666666666666,0.09153643683911236,0.25567668839357793,0.2,1.0,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_lower_lr,lower_lr,False,True,huber,16,0.2125,0.10233397459851469,0.23481151880696416,0.2,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_lowest_lr,lowest_lr,False,True,huber,16,0.30277777777777776,0.06239832480690837,0.2073685358239648,0.2,0.1,0.0001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_higher_lambda_entropy,higher_lambda_entropy,False,True,huber,16,0.24444444444444444,0.21879994673075187,0.4026409544361135,0.2,0.1,0.001,0.01,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_highest_lambda_entropy,highest_lambda_entropy,False,True,huber,16,0.25277777777777777,0.05459750870544153,0.18073471321258694,0.2,0.1,0.001,0.1,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_dropout_wd,dropout_wd,False,True,huber,16,0.17222222222222222,0.16780095941630624,0.32109188953957835,0.4,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_dropout_lr,dropout_lr,False,True,huber,16,0.13402777777777777,0.18574434838611178,0.3562429073111465,0.4,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_wd_lr,wd_lr,False,True,huber,16,0.16805555555555554,0.1437155679046132,0.273899535027643,0.2,0.5,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_all_moderate,all_moderate,False,True,huber,16,0.2131944444444444,0.17624475444496357,0.3398276607040316,0.4,0.5,0.0005,0.01,
PFC,Astrocytes,geFalse_attnTrue_huber_pca16_all_strong,all_strong,False,True,huber,16,0.13194444444444445,0.1338027565749569,0.30679026719493174,0.5,1.0,0.0001,0.1,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_baseline,baseline,False,True,mse,2,0.34444444444444444,0.13127919546535594,0.283207501944465,0.2,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_higher_dropout,higher_dropout,False,True,mse,2,0.15833333333333333,0.1674857743008997,0.32208305379996693,0.4,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_highest_dropout,highest_dropout,False,True,mse,2,0.3427083333333333,0.11118292721171641,0.2745133606949821,0.5,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_higher_weight_decay,higher_weight_decay,False,True,mse,2,0.29236111111111107,0.09341780152088139,0.22410873215024668,0.2,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_highest_weight_decay,highest_weight_decay,False,True,mse,2,0.175,0.0954815861239252,0.2352822809480131,0.2,1.0,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_lower_lr,lower_lr,False,True,mse,2,0.3458333333333333,0.1055653476820598,0.2670982336082185,0.2,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_lowest_lr,lowest_lr,False,True,mse,2,0.15729166666666666,0.2751598371673129,0.4580727389547974,0.2,0.1,0.0001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_higher_lambda_entropy,higher_lambda_entropy,False,True,mse,2,0.3819444444444444,0.037694917189533585,0.15320636332035065,0.2,0.1,0.001,0.01,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_highest_lambda_entropy,highest_lambda_entropy,False,True,mse,2,0.3111111111111111,0.00985401673550736,0.0763595982765158,0.2,0.1,0.001,0.1,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_dropout_wd,dropout_wd,False,True,mse,2,0.21805555555555556,0.14107124692534073,0.3344699764469018,0.4,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_dropout_lr,dropout_lr,False,True,mse,2,0.265625,0.14803704090331976,0.30241138623872144,0.4,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_wd_lr,wd_lr,False,True,mse,2,0.22916666666666666,0.07199565562900867,0.20834408700466156,0.2,0.5,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_all_moderate,all_moderate,False,True,mse,2,0.22743055555555555,0.14739874715371287,0.2932400768622756,0.4,0.5,0.0005,0.01,
PFC,Astrocytes,geFalse_attnTrue_mse_pca2_all_strong,all_strong,False,True,mse,2,0.15833333333333333,0.2860150077046693,0.49276628422861296,0.5,1.0,0.0001,0.1,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_baseline,baseline,False,True,mse,4,0.225,0.06513403132631419,0.20740498641195396,0.2,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_higher_dropout,higher_dropout,False,True,mse,4,0.3194444444444444,0.118231282659955,0.2965757117296258,0.4,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_highest_dropout,highest_dropout,False,True,mse,4,0.27361111111111114,0.13977596635842704,0.2901391388149932,0.5,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_higher_weight_decay,higher_weight_decay,False,True,mse,4,0.2875,0.24829476757550298,0.3385611694927017,0.2,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_highest_weight_decay,highest_weight_decay,False,True,mse,4,0.2736111111111111,0.2114175194747191,0.3525637999797861,0.2,1.0,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_lower_lr,lower_lr,False,True,mse,4,0.3013888888888889,0.2209242800620526,0.3790414912315706,0.2,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_lowest_lr,lowest_lr,False,True,mse,4,0.1986111111111111,0.20679864187777844,0.3638619178285202,0.2,0.1,0.0001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_higher_lambda_entropy,higher_lambda_entropy,False,True,mse,4,0.25902777777777775,0.1163701594990939,0.2698869928717613,0.2,0.1,0.001,0.01,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_highest_lambda_entropy,highest_lambda_entropy,False,True,mse,4,0.32361111111111107,0.1098934611024892,0.27357153470317525,0.2,0.1,0.001,0.1,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_dropout_wd,dropout_wd,False,True,mse,4,0.21770833333333334,0.10661851663432453,0.2493372440027694,0.4,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_dropout_lr,dropout_lr,False,True,mse,4,0.1236111111111111,0.15812655843247045,0.30296202772296965,0.4,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_wd_lr,wd_lr,False,True,mse,4,0.2722222222222222,0.2085769163255609,0.3783691954934814,0.2,0.5,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_all_moderate,all_moderate,False,True,mse,4,0.22604166666666664,0.1084102626475485,0.2761896011264374,0.4,0.5,0.0005,0.01,
PFC,Astrocytes,geFalse_attnTrue_mse_pca4_all_strong,all_strong,False,True,mse,4,0.075,0.2453058950449035,0.42178635423382127,0.5,1.0,0.0001,0.1,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_baseline,baseline,False,True,mse,8,0.2722222222222222,0.07457216010273683,0.192642061971128,0.2,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_higher_dropout,higher_dropout,False,True,mse,8,0.27812499999999996,0.08425178973941433,0.23485925956629217,0.4,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_highest_dropout,highest_dropout,False,True,mse,8,0.26458333333333334,0.08725529829236545,0.19912194662416974,0.5,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_higher_weight_decay,higher_weight_decay,False,True,mse,8,0.2375,0.16899038434880206,0.33103413383165997,0.2,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_highest_weight_decay,highest_weight_decay,False,True,mse,8,0.15,0.08433794645606443,0.21329443816406032,0.2,1.0,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_lower_lr,lower_lr,False,True,mse,8,0.34652777777777777,0.14771147120385875,0.2829965183821817,0.2,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_lowest_lr,lowest_lr,False,True,mse,8,0.09583333333333333,0.11068564083159287,0.27014701208099723,0.2,0.1,0.0001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_higher_lambda_entropy,higher_lambda_entropy,False,True,mse,8,0.29583333333333334,0.16782843606295747,0.31143656869729364,0.2,0.1,0.001,0.01,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_highest_lambda_entropy,highest_lambda_entropy,False,True,mse,8,0.27152777777777776,0.0313565566372176,0.1434400848423441,0.2,0.1,0.001,0.1,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_dropout_wd,dropout_wd,False,True,mse,8,0.225,0.1640562855132501,0.33583695363874233,0.4,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_dropout_lr,dropout_lr,False,True,mse,8,0.27465277777777775,0.08352600093914203,0.24949617831346887,0.4,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_wd_lr,wd_lr,False,True,mse,8,0.2850694444444445,0.03441917593779548,0.14632611876974505,0.2,0.5,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_all_moderate,all_moderate,False,True,mse,8,0.2361111111111111,0.1701121563993949,0.27146189706400037,0.4,0.5,0.0005,0.01,
PFC,Astrocytes,geFalse_attnTrue_mse_pca8_all_strong,all_strong,False,True,mse,8,0.16527777777777775,0.38598099711788775,0.49573408998548985,0.5,1.0,0.0001,0.1,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_baseline,baseline,False,True,mse,16,0.19027777777777777,0.19297912303900197,0.31740657643725473,0.2,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_higher_dropout,higher_dropout,False,True,mse,16,0.23124999999999996,0.18361887794973109,0.3442264307911197,0.4,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_highest_dropout,highest_dropout,False,True,mse,16,0.3121527777777778,0.1781532878591639,0.35341678881862515,0.5,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_higher_weight_decay,higher_weight_decay,False,True,mse,16,0.33958333333333335,0.03589541651913657,0.1401330443720023,0.2,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_highest_weight_decay,highest_weight_decay,False,True,mse,16,0.2777777777777778,0.09220234531225119,0.2323097862924139,0.2,1.0,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_lower_lr,lower_lr,False,True,mse,16,0.24027777777777776,0.1270922238902416,0.3047578659995148,0.2,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_lowest_lr,lowest_lr,False,True,mse,16,0.13194444444444445,0.24590310322541997,0.4195768563852956,0.2,0.1,0.0001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_higher_lambda_entropy,higher_lambda_entropy,False,True,mse,16,0.2,0.06624348064991543,0.19991664755313346,0.2,0.1,0.001,0.01,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_highest_lambda_entropy,highest_lambda_entropy,False,True,mse,16,0.29444444444444445,0.07950407654669217,0.20480066863819957,0.2,0.1,0.001,0.1,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_dropout_wd,dropout_wd,False,True,mse,16,0.21111111111111108,0.19976739294051415,0.3484152086700002,0.4,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_dropout_lr,dropout_lr,False,True,mse,16,0.24583333333333335,0.10842036874258393,0.2517644486700495,0.4,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_wd_lr,wd_lr,False,True,mse,16,0.17222222222222222,0.21985942988374474,0.42217744103011984,0.2,0.5,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_all_moderate,all_moderate,False,True,mse,16,0.16006944444444443,0.21753404994706982,0.3331616710250576,0.4,0.5,0.0005,0.01,
PFC,Astrocytes,geFalse_attnTrue_mse_pca16_all_strong,all_strong,False,True,mse,16,0.06458333333333333,0.2201032469492048,0.4082864838031431,0.5,1.0,0.0001,0.1,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_baseline,baseline,False,True,mae,2,0.4083333333333333,0.06223202766394828,0.175151612299184,0.2,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_higher_dropout,higher_dropout,False,True,mae,2,0.28194444444444444,0.12905862545126942,0.24112171741823357,0.4,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_highest_dropout,highest_dropout,False,True,mae,2,0.30694444444444446,0.19507307048173417,0.34521566183927155,0.5,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_higher_weight_decay,higher_weight_decay,False,True,mae,2,0.26944444444444443,0.07710975025338945,0.2084354100904117,0.2,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_highest_weight_decay,highest_weight_decay,False,True,mae,2,0.2652777777777777,0.15174577221390187,0.3050021755819519,0.2,1.0,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_lower_lr,lower_lr,False,True,mae,2,0.2725694444444444,0.1272019436432838,0.28922450790802634,0.2,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_lowest_lr,lowest_lr,False,True,mae,2,0.08333333333333333,0.27208856096588857,0.48163885056662065,0.2,0.1,0.0001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_higher_lambda_entropy,higher_lambda_entropy,False,True,mae,2,0.33055555555555555,0.10989297948925345,0.24820603802800179,0.2,0.1,0.001,0.01,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_highest_lambda_entropy,highest_lambda_entropy,False,True,mae,2,0.2972222222222222,0.03209923916116157,0.12542259227484465,0.2,0.1,0.001,0.1,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_dropout_wd,dropout_wd,False,True,mae,2,0.32881944444444444,0.21336558913803944,0.37512326702320326,0.4,0.5,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_dropout_lr,dropout_lr,False,True,mae,2,0.3138888888888889,0.05699585783615778,0.18383550360643616,0.4,0.1,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_wd_lr,wd_lr,False,True,mae,2,0.1423611111111111,0.15877914329075177,0.32304474525153637,0.2,0.5,0.0005,0.001,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_all_moderate,all_moderate,False,True,mae,2,0.25833333333333336,0.04788105059638843,0.17446501584102708,0.4,0.5,0.0005,0.01,
PFC,Astrocytes,geFalse_attnTrue_mae_pca2_all_strong,all_strong,False,True,mae,2,0.19166666666666665,0.19945863341103487,0.37539780737521744,0.5,1.0,0.0001,0.1,
PFC,Astrocytes,geFalse_attnTrue_mae_pca4_baseline,baseline,False,True,mae,4,0.28888888888888886,0.16116733913409462,0.3166128839366138,0.2,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mae_pca4_higher_dropout,higher_dropout,False,True,mae,4,0.24618055555555557,0.07340972141360426,0.22464191692415622,0.4,0.1,0.001,0.001,
PFC,Astrocytes,geFalse_attnTrue_mae_pca4_highest_dropout,highest_dropout,False,True,mae,4,0.2361111111111111,0.1477175558143433,0.29451778802710277,0.5,0.1,0.001,0.001,
